"codidist","codibarri","id","nom","erc","bcomu","psc","cs","junts","pp","cup","bcap","vox","partit","ptgcand","pob"
"1 ","1","01","el Raval","18.3","28.1","20.7","11.7","6.7","3.9","4.1","2.4","1.1","bcomu","28.1",47605
"1 ","2","02","el Barri Gòtic","20.1","28.7","15.7","10.9","8","3.1","5.9","4","1.2","bcomu","28.7",17035
"1 ","3","03","la Barceloneta","30.2","21.1","18.5","9.1","7.8","3.6","3.9","2.4","1.1","erc","30.2",14893
"1 ","4","04","Sant Pere, Santa Caterina i la Ribera","18.2","30.4","17.1","10.4","8","3.8","4.4","3.4","1","bcomu","30.4",22605
"2 ","5","05","el Fort Pienc","23","21.1","16.3","11.7","11.6","4.4","4.5","4.4","1.1","erc","23",32080
"2 ","6","06","la Sagrada Família","24","21.8","15.5","10.7","11.6","4.1","4.2","4.8","0.9","erc","24",51654
"2 ","7","07","la Dreta de l'Eixample","20.6","19.1","13","14.1","15.4","4.5","4.1","6.1","0.9","erc","20.6",43880
"2 ","8","08","l'Antiga Esquerra de l'Eixample","22.2","17","15.3","14.2","15","4.9","3.7","4.9","1.2","erc","22.2",42611
"2 ","9","09","la Nova Esquerra de l'Eixample","23.2","18.5","15.1","12.8","14.3","5","3.6","4.8","0.9","erc","23.2",58238
"2 ","10","10","Sant Antoni","23.7","23.2","15","9.2","12.8","4.2","4.7","4.8","0.6","erc","23.7",38291
"3 ","11","11","el Poble Sec - Parc Montjuïc","22.8","28.3","18","9.1","7.4","3.7","4.6","3.1","0.9","bcomu","28.3",39775
"3 ","12","12","la Marina del Prat Vermell - Zona Franca","17","28.8","28.2","16.2","3.3","1.4","0.5","0.8","1.6","bcomu","28.8",1161
"3 ","13","13","la Marina de Port","17.2","24.1","26.4","14","5.1","5.3","2.1","1.5","1.6","psc","26.4",30751
"3 ","14","14","la Font de la Guatlla","21.7","23","19.6","11.2","8.7","5.7","4","3.2","1.2","bcomu","23",10307
"3 ","15","15","Hostafrancs","24.3","23","15.5","10.6","9.1","4.8","5","3.8","0.8","erc","24.3",15969
"3 ","16","16","la Bordeta","25.8","21.8","18.9","9.2","9.2","4.3","4.8","3.5","0.9","erc","25.8",18833
"3 ","17","17","Sants - Badal","24","20.4","19.9","11.3","8.7","5.6","4.1","3.2","1","erc","24",24018
"3 ","18","18","Sants","25.2","22","15.4","9.1","11.5","3.5","6","4.7","0.8","erc","25.2",41370
"4 ","19","19","les Corts","22.7","13.8","15.6","16.1","15.2","5.9","3.2","5.1","0.9","erc","22.7",46152
"4 ","20","20","la Maternitat i Sant Ramon","21.8","15.4","17.2","16.1","12.8","6.5","2.6","4.4","1.3","erc","21.8",23984
"4 ","21","21","Pedralbes","13.2","4.8","12.1","34.8","16.9","10","0.8","3.3","2.8","cs","34.8",12046
"5 ","22","22","Vallvidrera, el Tibidabo i les Planes","24.2","20","11.8","11.1","14.8","2.8","6.7","6.1","0.8","erc","24.2",4710
"5 ","23","23","Sarrià","19.3","10.6","12.8","21","19.4","5.6","2.9","5.5","1.4","cs","21",25116
"5 ","24","24","les Tres Torres","13.1","5.5","13.2","33.8","18","8.1","1.3","3.7","2.1","cs","33.8",16678
"5 ","25","25","Sant Gervasi - la Bonanova","16","8.4","13","27.2","18.2","7.3","1.5","4.5","2.1","cs","27.2",25889
"5 ","26","26","Sant Gervasi - Galvany","15.9","8.7","13.4","27.8","17.1","7.4","1.8","4.3","2.1","cs","27.8",47753
"5 ","27","27","el Putxet i el Farró","21.9","14.9","13.2","15.8","16.6","4.5","3.4","5.7","1.4","erc","21.9",29691
"6 ","28","28","Vallcarca i els Penitents","21","19.3","14.6","12.4","13.7","4.5","4.9","5.7","1.1","erc","21",15789
"6 ","29","29","el Coll","24","23.3","16","11.1","10.3","3.6","4.6","4.1","1","erc","24",7460
"6 ","30","30","la Salut","24.3","19.2","13.6","9.9","15.5","4.4","5.4","5.3","0.8","erc","24.3",13260
"6 ","31","31","la Vila de Gràcia","23.5","27.6","11.3","7.3","12.1","2.7","7.5","5.9","0.5","bcomu","27.6",50421
"6 ","32","32","el Camp d'en Grassot i Gràcia Nova","25","22.7","13.2","8.8","13.5","3.3","5.6","6","0.7","erc","25",34663
"7 ","33","33","el Baix Guinardó","24.3","21.4","16.2","10","11.6","4.3","5.1","4.4","0.8","erc","24.3",25793
"7 ","34","34","Can Baró","24.9","21.5","18.6","10.2","10.2","3.3","5.1","3.2","1","erc","24.9",9071
"7 ","35","35","el Guinardó","24.4","24.2","15.9","9.2","9.9","4.1","5.7","3.8","0.9","erc","24.4",36890
"7 ","36","36","la Font d'en Fargues","23.5","20.5","16.7","10.8","12.1","4.6","4.9","4.2","0.7","erc","23.5",9446
"7 ","37","37","el Carmel","14","21.5","32.2","14.3","3.5","6.4","2.8","1.2","1.3","psc","32.2",31832
"7 ","38","38","la Teixonera","16.3","23.7","29","13.8","3.8","5.9","2.5","1.4","1.8","psc","29",11650
"7 ","39","39","Sant Genís dels Agudells","18.8","22.9","25.5","11.8","5.7","5.4","2.9","2.6","1","psc","25.5",7149
"7 ","40","40","Montbau","22.4","22.3","18.5","11.2","8.7","5.4","5.1","3.9","1","erc","22.4",5157
"7 ","41","41","la Vall d'Hebron","18.4","19.9","20.3","16.7","7.9","7","2.9","3.6","1.1","psc","20.3",5737
"7 ","42","42","la Clota","26.4","32.1","16.2","5.7","6.4","1.7","6.1","2.4","1","bcomu","32.1",657
"7 ","43","43","Horta","22.4","21.6","19.4","10.8","9.5","4.8","4.9","3.4","0.9","erc","22.4",26867
"8 ","44","44","Vilapicina i la Torre Llobeta","20.4","21.6","22.4","12.8","7.3","6.2","3.5","2.3","1.4","psc","22.4",25675
"8 ","45","45","Porta","17.5","23.4","26","13","4.8","7.1","2.7","1.8","1.5","psc","26",25568
"8 ","46","46","el Turó de la Peira","18","22.8","26.3","11.9","4","6.4","3.2","1.7","1.4","psc","26.3",15616
"8 ","47","47","Can Peguera","19.1","26.7","27.6","10.9","4.2","3.1","4","0.5","1.2","psc","27.6",2229
"8 ","48","48","la Guineueta","16.8","21.7","25.4","14.4","5.5","7.8","2.7","1.3","1.7","psc","25.4",15293
"8 ","49","49","Canyelles","14.5","22.3","31.3","15.9","2.4","6.3","2.1","1.1","1.7","psc","31.3",6885
"8 ","50","50","les Roquetes","11.3","22.8","33.7","15.3","2.8","6.2","2.1","0.7","2","psc","33.7",15784
"8 ","51","51","Verdun","13.6","22.8","31.1","13.2","3.9","7.3","2.3","0.9","2","psc","31.1",12445
"8 ","52","52","la Prosperitat","13","25.1","30.8","13.4","3.6","7.1","2","1.1","1.5","psc","30.8",26552
"8 ","53","53","la Trinitat Nova","16.4","24.9","29.3","9.9","4.1","5.2","2","1.1","2.8","psc","29.3",7365
"8 ","54","54","Torre Baró","10.3","23.8","33.9","11.8","2.5","5.9","2.1","1.1","4.9","psc","33.9",2893
"8 ","55","55","Ciutat Meridiana","10.6","19.4","38.7","13.3","2.1","7.1","1.3","0.6","3","psc","38.7",10622
"8 ","56","56","Vallbona","13.9","25.3","29.1","14.9","2.8","4.7","3.3","0.5","1.9","psc","29.1",1400
"9 ","57","57","la Trinitat Vella","12.3","22.6","33.9","15.2","3.5","5","1.6","0.9","2","psc","33.9",10071
"9 ","58","58","Baró de Viver","19.6","22.7","28.8","13","2.9","3.8","1.8","1.1","2.3","psc","28.8",2535
"9 ","59","59","el Bon Pastor","18.8","24.1","27.5","12.1","5.1","5","2.2","1.5","1.2","psc","27.5",12740
"9 ","60","60","Sant Andreu","23.6","23.7","19.5","10.9","7.9","4.1","4.3","2.9","0.8","bcomu","23.7",57662
"9 ","61","61","la Sagrera","21.6","22.8","20.9","12.2","6.8","6.4","3.5","2.6","1.2","bcomu","22.8",29197
"9 ","62","62","el Congrés i els Indians","24.4","24.1","18.4","9","9.1","3.8","5.2","3.3","0.8","erc","24.4",14196
"9 ","63","63","Navas","24.3","21.3","18.6","11.3","9.8","4.8","3.4","3.5","1","erc","24.3",22159
"10 ","64","64","el Camp de l'Arpa del Clot","25.9","22.7","16.3","8.8","10.6","4.1","4.5","4.1","0.6","erc","25.9",38440
"10 ","65","65","el Clot","22.7","23.7","19.2","11.4","7.6","4.3","4.5","3.4","1","bcomu","23.7",27050
"10 ","66","66","el Parc i la Llacuna del Poblenou","22.7","24.3","18.9","11.7","8.1","4.5","4","3.1","1.1","bcomu","24.3",15426
"10 ","67","67","la Vila Olímpica del Poblenou","21.6","21.5","16.5","14.2","11.7","3.3","4.4","4.9","0.6","erc","21.6",9312
"10 ","68","68","el Poblenou","27","25.8","15.4","8.3","9.5","2.3","5.4","4","0.6","erc","27",33985
"10 ","69","69","Diagonal Mar i el Front Marítim del Poblenou","22.1","22.5","19.1","14.8","8","3.6","3.4","3.8","0.9","bcomu","22.5",13681
"10 ","70","70","el Besòs i el Maresme","17.3","19.3","31.8","12.9","3.2","6.3","2.3","0.9","2.5","psc","31.8",23546
"10 ","71","71","Provençals del Poblenou","22.3","23.6","22","12.8","6.4","3.8","3.4","2.7","1.1","bcomu","23.6",20766
"10 ","72","72","Sant Martí de Provençals","20.7","21.6","23","13.4","6.4","6.4","2.9","1.9","1.5","psc","23",26092
"10 ","73","73","la Verneda i la Pau","16.3","20.3","28.6","15.3","3.6","8","2","1.4","1.8","psc","28.6",28814
